Membership No  Date Joined  Active  
    46028      2015-11-25   no    
    56161      2017-10-11   no    
    30719      2015-7-22    no    
    66309      2018-1-13    no    
    50597      2019-11-11   no    
    82490      2019-7-10    no    
    33790      2017-10-10   no    
    70049      2018-6-4     no    
    51364      2016-7-3     no    
    12205      2015-12-7    no    
    87266      2017-3-11    no    
    73622      2017-11-14   no    
    46238      2017-5-11    no    
    10267      2016-1-21    no    
    92676      2019-11-10   no    
